GeneID	GSM3902321	GSM3902322
100287102	12	6
653635	772	1118
102466751	26	17
107985730	2	2
100302278	1	0
645520	1	2
79501	0	0
100996442	697	308
729737	2609	1868
102725121	11	13
102723897	744	1376
102465909	6	10
107985721	2	2
112268260	12	3
729759	0	0
100132287	961	690
105378947	2	0
101928626	0	0
113219467	143	4
81399	12	0
100133331	682	1600
107984841	440	71
107984847	472	68
107984849	139	45
100288069	580	333
105378580	197	83
400728	88	46
79854	113	229
643837	570	705
107984850	0	0
284593	1	0
284600	29	11
100130417	69	150
107985728	102	544
148398	358	2243
26155	3938	4330
339451	828	880
84069	1285	252
84808	162	86
57801	1794	8224
9636	919	3503
375790	27461	104350
100288175	13	23
112267874	19	136
105378948	41	207
401934	16	130
54991	707	1478
254099	2	10
406984	12	16
406983	14	36
554210	8	40
100506376	51	96
254173	199	190
8784	2394	526
7293	139	680
51150	7454	26056
126792	1460	4665
388581	144	417
118424	2124	4199
101928895	121	408
6339	205	507
116983	3230	10754
102465434	1	8
109623456	35	131
126789	746	1015
54973	3267	5975
102465435	29	93
80772	1057	2336
83756	169	792
1855	3887	9760
102466740	17	21
54587	1855	13570
54998	1997	4135
81669	10260	9523
148413	407	848
55052	1070	561
107984868	39	0
441869	1270	1895
105378585	77	235
643965	19	34
102724312	210	229
107985729	239	299
64856	6500	18656
219293	169	762
83858	2335	3927
55210	1282	2108
339453	24	195
29101	2720	3549
643988	437	727
105378586	63	92
142678	5024	17708
8510	304	3787
984	1202	2854
728661	3910	7461
8511	152	1853
728642	990	1900
9906	1610	3956
112268218	305	947
65220	3423	6240
2782	15722	9181
105378949	31	49
163688	29	16
339456	61	55
85452	65	67
107984872	10	0
105378589	6	3
2563	324	80
105378590	0	38
105378591	2	41
5590	1881	6291
100506504	130	557
199990	1347	3262
112268219	318	884
105378593	64	68
6497	6438	35508
79906	342	462
100129534	49	70
11079	3435	2052
5192	1155	1689
9651	4935	1068
55229	1705	2803
388585	35	58
115110	931	1431
8764	4780	11929
100996583	39	11
127281	1999	1931
79258	312	236
105378597	4	18
100287898	118	311
105378603	0	0
105378602	0	0
105378601	0	0
112268220	1	0
107985732	0	0
105378600	1	0
105378598	9	3
107984904	0	0
105378599	4	0
140625	0	3
440556	54	1105
63976	217	2578
100422968	1	1
105378606	21	136
107984909	11	75
